areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByPublishDate
K02000001,United Kingdom,overview,02/10/2021,44969396
K02000001,United Kingdom,overview,01/10/2021,44935470
K02000001,United Kingdom,overview,30/09/2021,44901832
K02000001,United Kingdom,overview,29/09/2021,44867373
K02000001,United Kingdom,overview,28/09/2021,44833280
K02000001,United Kingdom,overview,27/09/2021,44799748
K02000001,United Kingdom,overview,26/09/2021,44766571
K02000001,United Kingdom,overview,25/09/2021,44741032
K02000001,United Kingdom,overview,24/09/2021,44693914
K02000001,United Kingdom,overview,23/09/2021,44649155
K02000001,United Kingdom,overview,22/09/2021,44604567
K02000001,United Kingdom,overview,21/09/2021,44560520
K02000001,United Kingdom,overview,20/09/2021,44517114
K02000001,United Kingdom,overview,19/09/2021,44470772
K02000001,United Kingdom,overview,18/09/2021,44435615
K02000001,United Kingdom,overview,17/09/2021,44363118
K02000001,United Kingdom,overview,16/09/2021,44302734
K02000001,United Kingdom,overview,15/09/2021,44238761
K02000001,United Kingdom,overview,14/09/2021,44175471
K02000001,United Kingdom,overview,13/09/2021,44108746
K02000001,United Kingdom,overview,12/09/2021,44048093
K02000001,United Kingdom,overview,11/09/2021,43995478
K02000001,United Kingdom,overview,10/09/2021,43897419
K02000001,United Kingdom,overview,09/09/2021,43805608
K02000001,United Kingdom,overview,08/09/2021,43708906
K02000001,United Kingdom,overview,07/09/2021,43620946
K02000001,United Kingdom,overview,06/09/2021,43535098
K02000001,United Kingdom,overview,05/09/2021,43455083
K02000001,United Kingdom,overview,04/09/2021,43381890
K02000001,United Kingdom,overview,03/09/2021,43253337
K02000001,United Kingdom,overview,02/09/2021,43142747
K02000001,United Kingdom,overview,01/09/2021,43023372
K02000001,United Kingdom,overview,31/08/2021,42909987
K02000001,United Kingdom,overview,30/08/2021,42790585
K02000001,United Kingdom,overview,29/08/2021,42723937
K02000001,United Kingdom,overview,28/08/2021,42644497
K02000001,United Kingdom,overview,27/08/2021,42510809
K02000001,United Kingdom,overview,26/08/2021,42379353
K02000001,United Kingdom,overview,25/08/2021,42234417
K02000001,United Kingdom,overview,24/08/2021,42072712
K02000001,United Kingdom,overview,23/08/2021,41942036
K02000001,United Kingdom,overview,22/08/2021,41810753
K02000001,United Kingdom,overview,21/08/2021,41694401
K02000001,United Kingdom,overview,20/08/2021,41499520
K02000001,United Kingdom,overview,19/08/2021,41332128
K02000001,United Kingdom,overview,18/08/2021,41157069
K02000001,United Kingdom,overview,17/08/2021,40987846
K02000001,United Kingdom,overview,16/08/2021,40841971
K02000001,United Kingdom,overview,15/08/2021,40703581
K02000001,United Kingdom,overview,14/08/2021,40577198
K02000001,United Kingdom,overview,13/08/2021,40377614
K02000001,United Kingdom,overview,12/08/2021,40206029
K02000001,United Kingdom,overview,11/08/2021,40013470
K02000001,United Kingdom,overview,10/08/2021,39839709
K02000001,United Kingdom,overview,09/08/2021,39688566
K02000001,United Kingdom,overview,08/08/2021,39551538
K02000001,United Kingdom,overview,07/08/2021,39429468
K02000001,United Kingdom,overview,06/08/2021,39215885
K02000001,United Kingdom,overview,05/08/2021,39047529
K02000001,United Kingdom,overview,04/08/2021,38874837
K02000001,United Kingdom,overview,03/08/2021,38709168
K02000001,United Kingdom,overview,02/08/2021,38566407
K02000001,United Kingdom,overview,01/08/2021,38440215
K02000001,United Kingdom,overview,31/07/2021,38322171
K02000001,United Kingdom,overview,30/07/2021,38110157
K02000001,United Kingdom,overview,29/07/2021,37939061
K02000001,United Kingdom,overview,28/07/2021,37759143
K02000001,United Kingdom,overview,27/07/2021,37587970
K02000001,United Kingdom,overview,26/07/2021,37436320
K02000001,United Kingdom,overview,25/07/2021,37287384
K02000001,United Kingdom,overview,24/07/2021,37169428
K02000001,United Kingdom,overview,23/07/2021,36965542
K02000001,United Kingdom,overview,22/07/2021,36776201
K02000001,United Kingdom,overview,21/07/2021,36587904
K02000001,United Kingdom,overview,20/07/2021,36404566
K02000001,United Kingdom,overview,19/07/2021,36243287
K02000001,United Kingdom,overview,18/07/2021,36099727
K02000001,United Kingdom,overview,17/07/2021,35970849
K02000001,United Kingdom,overview,16/07/2021,35745635
K02000001,United Kingdom,overview,15/07/2021,35543321
K02000001,United Kingdom,overview,14/07/2021,35341428
K02000001,United Kingdom,overview,13/07/2021,35155767
K02000001,United Kingdom,overview,12/07/2021,34997491
K02000001,United Kingdom,overview,11/07/2021,34872131
K02000001,United Kingdom,overview,10/07/2021,34764511
K02000001,United Kingdom,overview,09/07/2021,34553065
K02000001,United Kingdom,overview,08/07/2021,34374246
K02000001,United Kingdom,overview,07/07/2021,34198779
K02000001,United Kingdom,overview,06/07/2021,34027302
K02000001,United Kingdom,overview,05/07/2021,33874176
K02000001,United Kingdom,overview,04/07/2021,33726362
K02000001,United Kingdom,overview,03/07/2021,33614952
K02000001,United Kingdom,overview,02/07/2021,33418743
K02000001,United Kingdom,overview,01/07/2021,33241265
K02000001,United Kingdom,overview,30/06/2021,33048199
K02000001,United Kingdom,overview,29/06/2021,32872450
K02000001,United Kingdom,overview,28/06/2021,32721762
K02000001,United Kingdom,overview,27/06/2021,32583746
K02000001,United Kingdom,overview,26/06/2021,32460191
K02000001,United Kingdom,overview,25/06/2021,32260686
K02000001,United Kingdom,overview,24/06/2021,32085916
K02000001,United Kingdom,overview,23/06/2021,31908103
K02000001,United Kingdom,overview,22/06/2021,31740115
K02000001,United Kingdom,overview,21/06/2021,31489240
K02000001,United Kingdom,overview,20/06/2021,31449915
K02000001,United Kingdom,overview,19/06/2021,31340507
K02000001,United Kingdom,overview,18/06/2021,31104144
K02000001,United Kingdom,overview,17/06/2021,30898467
K02000001,United Kingdom,overview,16/06/2021,30675207
K02000001,United Kingdom,overview,15/06/2021,30440373
K02000001,United Kingdom,overview,14/06/2021,30209707
K02000001,United Kingdom,overview,13/06/2021,29973779
K02000001,United Kingdom,overview,12/06/2021,29792658
K02000001,United Kingdom,overview,11/06/2021,29472332
K02000001,United Kingdom,overview,10/06/2021,29165140
K02000001,United Kingdom,overview,09/06/2021,28857102
K02000001,United Kingdom,overview,08/06/2021,28540844
K02000001,United Kingdom,overview,07/06/2021,28227362
K02000001,United Kingdom,overview,06/06/2021,27921294
K02000001,United Kingdom,overview,05/06/2021,27661353
K02000001,United Kingdom,overview,04/06/2021,27187975
K02000001,United Kingdom,overview,03/06/2021,26799944
K02000001,United Kingdom,overview,02/06/2021,26422303
K02000001,United Kingdom,overview,01/06/2021,26073284
K02000001,United Kingdom,overview,31/05/2021,25734719
K02000001,United Kingdom,overview,30/05/2021,25539173
K02000001,United Kingdom,overview,29/05/2021,25332851
K02000001,United Kingdom,overview,28/05/2021,24914003
K02000001,United Kingdom,overview,27/05/2021,24478052
K02000001,United Kingdom,overview,26/05/2021,24043956
K02000001,United Kingdom,overview,25/05/2021,23616498
K02000001,United Kingdom,overview,24/05/2021,23228511
K02000001,United Kingdom,overview,23/05/2021,22895556
K02000001,United Kingdom,overview,22/05/2021,22643417
K02000001,United Kingdom,overview,21/05/2021,22086466
K02000001,United Kingdom,overview,20/05/2021,21659783
K02000001,United Kingdom,overview,19/05/2021,21239471
K02000001,United Kingdom,overview,18/05/2021,20870453
K02000001,United Kingdom,overview,17/05/2021,20546452
K02000001,United Kingdom,overview,16/05/2021,20287403
K02000001,United Kingdom,overview,15/05/2021,20103658
K02000001,United Kingdom,overview,14/05/2021,19712412
K02000001,United Kingdom,overview,13/05/2021,19319010
K02000001,United Kingdom,overview,12/05/2021,18890969
K02000001,United Kingdom,overview,11/05/2021,18438532
K02000001,United Kingdom,overview,10/05/2021,18088385
K02000001,United Kingdom,overview,09/05/2021,17856550
K02000001,United Kingdom,overview,08/05/2021,17669379
K02000001,United Kingdom,overview,07/05/2021,17230542
K02000001,United Kingdom,overview,06/05/2021,16764720
K02000001,United Kingdom,overview,05/05/2021,16291719
K02000001,United Kingdom,overview,04/05/2021,15887493
K02000001,United Kingdom,overview,03/05/2021,15630007
K02000001,United Kingdom,overview,02/05/2021,15502508
K02000001,United Kingdom,overview,01/05/2021,15329617
K02000001,United Kingdom,overview,30/04/2021,14957313
K02000001,United Kingdom,overview,29/04/2021,14535528
K02000001,United Kingdom,overview,28/04/2021,14043961
K02000001,United Kingdom,overview,27/04/2021,13581076
K02000001,United Kingdom,overview,26/04/2021,13201811
K02000001,United Kingdom,overview,25/04/2021,12897123
K02000001,United Kingdom,overview,24/04/2021,12636322
K02000001,United Kingdom,overview,23/04/2021,12088686
K02000001,United Kingdom,overview,22/04/2021,11623671
K02000001,United Kingdom,overview,21/04/2021,11192601
K02000001,United Kingdom,overview,20/04/2021,10775817
K02000001,United Kingdom,overview,19/04/2021,10425790
K02000001,United Kingdom,overview,18/04/2021,10152039
K02000001,United Kingdom,overview,17/04/2021,9930846
K02000001,United Kingdom,overview,16/04/2021,9431211
K02000001,United Kingdom,overview,15/04/2021,8931547
K02000001,United Kingdom,overview,14/04/2021,8513864
K02000001,United Kingdom,overview,13/04/2021,8170081
K02000001,United Kingdom,overview,12/04/2021,7857396
K02000001,United Kingdom,overview,11/04/2021,7656205
K02000001,United Kingdom,overview,10/04/2021,7466540
K02000001,United Kingdom,overview,09/04/2021,6991310
K02000001,United Kingdom,overview,08/04/2021,6541174
K02000001,United Kingdom,overview,07/04/2021,6091905
K02000001,United Kingdom,overview,06/04/2021,5683509
K02000001,United Kingdom,overview,05/04/2021,5496716
K02000001,United Kingdom,overview,04/04/2021,5432126
K02000001,United Kingdom,overview,03/04/2021,5384418
K02000001,United Kingdom,overview,02/04/2021,5205505
K02000001,United Kingdom,overview,01/04/2021,4958874
K02000001,United Kingdom,overview,31/03/2021,4513458
K02000001,United Kingdom,overview,30/03/2021,4125884
K02000001,United Kingdom,overview,29/03/2021,3848202
K02000001,United Kingdom,overview,28/03/2021,3679972
K02000001,United Kingdom,overview,27/03/2021,3532378
K02000001,United Kingdom,overview,26/03/2021,3293517
K02000001,United Kingdom,overview,25/03/2021,3009863
K02000001,United Kingdom,overview,24/03/2021,2775481
K02000001,United Kingdom,overview,23/03/2021,2532839
K02000001,United Kingdom,overview,22/03/2021,2363684
K02000001,United Kingdom,overview,21/03/2021,2281384
K02000001,United Kingdom,overview,20/03/2021,2228772
K02000001,United Kingdom,overview,19/03/2021,2136795
K02000001,United Kingdom,overview,18/03/2021,2011070
K02000001,United Kingdom,overview,17/03/2021,1879054
K02000001,United Kingdom,overview,16/03/2021,1759445
K02000001,United Kingdom,overview,15/03/2021,1663646
K02000001,United Kingdom,overview,14/03/2021,1610280
K02000001,United Kingdom,overview,13/03/2021,1584909
K02000001,United Kingdom,overview,12/03/2021,1532754
K02000001,United Kingdom,overview,11/03/2021,1445078
K02000001,United Kingdom,overview,10/03/2021,1351515
K02000001,United Kingdom,overview,09/03/2021,1254353
K02000001,United Kingdom,overview,08/03/2021,1181431
K02000001,United Kingdom,overview,07/03/2021,1142643
K02000001,United Kingdom,overview,06/03/2021,1122402
K02000001,United Kingdom,overview,05/03/2021,1090840
K02000001,United Kingdom,overview,04/03/2021,1034068
K02000001,United Kingdom,overview,03/03/2021,963862
K02000001,United Kingdom,overview,02/03/2021,895412
K02000001,United Kingdom,overview,01/03/2021,844098
K02000001,United Kingdom,overview,28/02/2021,815816
K02000001,United Kingdom,overview,27/02/2021,796132
K02000001,United Kingdom,overview,26/02/2021,768810
K02000001,United Kingdom,overview,25/02/2021,736037
K02000001,United Kingdom,overview,24/02/2021,700718
K02000001,United Kingdom,overview,23/02/2021,669105
K02000001,United Kingdom,overview,22/02/2021,642788
K02000001,United Kingdom,overview,21/02/2021,624325
K02000001,United Kingdom,overview,20/02/2021,615148
K02000001,United Kingdom,overview,19/02/2021,604885
K02000001,United Kingdom,overview,18/02/2021,589591
K02000001,United Kingdom,overview,17/02/2021,573724
K02000001,United Kingdom,overview,16/02/2021,558577
K02000001,United Kingdom,overview,15/02/2021,546165
K02000001,United Kingdom,overview,14/02/2021,539630
K02000001,United Kingdom,overview,13/02/2021,537715
K02000001,United Kingdom,overview,12/02/2021,534869
K02000001,United Kingdom,overview,11/02/2021,530094
K02000001,United Kingdom,overview,10/02/2021,524447
K02000001,United Kingdom,overview,09/02/2021,519553
K02000001,United Kingdom,overview,08/02/2021,516392
K02000001,United Kingdom,overview,07/02/2021,512581
K02000001,United Kingdom,overview,06/02/2021,511719
K02000001,United Kingdom,overview,05/02/2021,510057
K02000001,United Kingdom,overview,04/02/2021,505993
K02000001,United Kingdom,overview,03/02/2021,501957
K02000001,United Kingdom,overview,02/02/2021,498962
K02000001,United Kingdom,overview,01/02/2021,496796
K02000001,United Kingdom,overview,31/01/2021,494209
K02000001,United Kingdom,overview,30/01/2021,491053
K02000001,United Kingdom,overview,29/01/2021,480432
K02000001,United Kingdom,overview,28/01/2021,478254
K02000001,United Kingdom,overview,27/01/2021,476485
K02000001,United Kingdom,overview,26/01/2021,474156
K02000001,United Kingdom,overview,25/01/2021,472446
K02000001,United Kingdom,overview,24/01/2021,470478
K02000001,United Kingdom,overview,23/01/2021,469660
K02000001,United Kingdom,overview,22/01/2021,468617
K02000001,United Kingdom,overview,21/01/2021,466796
K02000001,United Kingdom,overview,20/01/2021,464036
K02000001,United Kingdom,overview,19/01/2021,460625
K02000001,United Kingdom,overview,18/01/2021,456866
K02000001,United Kingdom,overview,17/01/2021,452301
K02000001,United Kingdom,overview,16/01/2021,450062
K02000001,United Kingdom,overview,15/01/2021,447442
K02000001,United Kingdom,overview,14/01/2021,443234
K02000001,United Kingdom,overview,13/01/2021,437977
K02000001,United Kingdom,overview,12/01/2021,428232
K02000001,United Kingdom,overview,11/01/2021,412167
K02000001,United Kingdom,overview,10/01/2021,391399
